,Theater,Link,city
96,CGV인천논현,http://www.cgv.co.kr/theaters/?areacode=202&theaterCode=0346&date=20230530,인천
97,CGV인천도화,http://www.cgv.co.kr/theaters/?areacode=202&theaterCode=0340&date=20230530,인천
98,CGV인천시민공원,http://www.cgv.co.kr/theaters/?areacode=202&theaterCode=0352&date=20230530,인천
99,CGV인천연수,http://www.cgv.co.kr/theaters/?areacode=202&theaterCode=0258&date=20230530,인천
100,CGV인천학익,http://www.cgv.co.kr/theaters/?areacode=202&theaterCode=0269&date=20230530,인천
101,CGV주안역,http://www.cgv.co.kr/theaters/?areacode=202&theaterCode=0308&date=20230530,인천
102,CGV청라,http://www.cgv.co.kr/theaters/?areacode=202&theaterCode=0235&date=20230530,인천
103,CGV강릉,http://www.cgv.co.kr/theaters/?areacode=12&theaterCode=0139&date=20230530,강원
104,CGV기린,http://www.cgv.co.kr/theaters/?areacode=12&theaterCode=0355&date=20230530,강원
105,CGV원주,http://www.cgv.co.kr/theaters/?areacode=12&theaterCode=0144&date=20230530,강원
106,CGV원통,http://www.cgv.co.kr/theaters/?areacode=12&theaterCode=0354&date=20230530,강원
107,CGV인제,http://www.cgv.co.kr/theaters/?areacode=12&theaterCode=0281&date=20230530,강원
108,CGV춘천,http://www.cgv.co.kr/theaters/?areacode=12&theaterCode=0070&date=20230530,강원
109,CGV논산,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0261&date=20230530,대전/충청
110,CGV당진,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0207&date=20230530,대전/충청
111,CGV대전,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0007&date=20230530,대전/충청
112,CGV대전가수원,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0286&date=20230530,대전/충청
113,CGV대전가오,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0154&date=20230530,대전/충청
114,CGV대전탄방,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0202&date=20230530,대전/충청
115,CGV대전터미널,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0127&date=20230530,대전/충청
116,CGV서산,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0091&date=20230530,대전/충청
